Week,Southwest Airlines: (Worldwide),Air France–KLM: (Worldwide),Delta Air Lines: (Worldwide),United Airlines: (Worldwide),Emirates: (Worldwide),Expedia: (Worldwide),trivago: (Worldwide),Tripadvisor: (Worldwide),Hilton: (Worldwide),Marriott: (Worldwide),Passport: (Worldwide),Customs: (Worldwide),Embassy: (Worldwide),Travel visa: (Worldwide),Check-in: (Worldwide)
3/15/2020,44,20,67,75,50,69,20,33,44,18,41,17,34,52,68
3/22/2020,26,10,47,44,28,38,10,20,33,10,30,12,23,38,33
3/29/2020,21,7,37,33,16,29,9,18,25,9,28,12,18,36,23
4/5/2020,19,7,36,31,15,26,9,17,24,9,28,12,15,35,19
4/12/2020,20,8,36,30,15,26,10,19,25,8,29,13,16,37,20
4/19/2020,20,8,32,29,15,27,10,19,24,9,30,13,16,41,19
4/26/2020,21,8,33,29,13,25,10,19,23,8,33,13,16,34,17
5/3/2020,25,8,37,32,13,29,11,19,29,10,35,15,19,38,20
5/10/2020,24,8,34,30,14,28,12,20,30,11,39,16,21,42,24
5/17/2020,26,8,34,33,16,34,15,28,35,13,41,16,20,41,26
5/24/2020,28,8,33,31,14,34,17,32,36,15,44,16,21,43,30
5/31/2020,30,9,37,32,16,38,19,38,39,14,49,16,25,44,36
6/7/2020,35,11,41,36,18,43,24,45,41,18,50,16,25,46,37
6/14/2020,32,11,35,36,16,44,27,50,44,20,52,17,25,50,39
6/21/2020,33,10,34,34,17,42,27,58,47,19,54,16,24,61,43
6/28/2020,28,11,30,32,18,41,33,64,44,19,55,17,28,50,51
7/5/2020,27,9,30,35,19,42,37,77,44,19,57,17,25,58,49
7/12/2020,25,9,30,31,19,40,39,80,48,19,56,17,25,56,54
7/19/2020,26,8,27,32,19,40,43,90,47,19,56,16,26,53,56
7/26/2020,27,9,29,33,19,39,47,89,50,20,53,17,22,49,59
8/2/2020,27,8,28,32,19,42,46,95,50,21,52,16,24,50,59
8/9/2020,27,8,28,32,17,41,44,97,51,21,53,16,24,53,59
8/16/2020,26,8,28,33,18,40,40,100,50,20,55,15,23,53,57
8/23/2020,28,7,29,33,16,40,33,91,50,20,56,17,23,51,55
8/30/2020,28,7,30,34,16,42,33,80,50,21,55,16,23,51,63
9/6/2020,28,8,29,35,16,37,27,75,49,20,54,16,23,51,58
9/13/2020,30,8,31,37,17,38,27,64,51,20,54,17,22,52,56
9/20/2020,29,7,28,35,15,38,23,58,48,20,54,17,21,55,58
9/27/2020,29,7,27,36,16,38,22,57,49,22,56,16,22,51,56
10/4/2020,28,7,35,36,15,37,23,55,50,26,55,15,21,56,60
10/11/2020,28,7,28,33,14,35,20,49,45,19,53,16,21,54,57
10/18/2020,29,6,28,33,15,35,19,42,43,18,52,17,21,57,55
10/25/2020,24,7,27,32,14,30,17,40,40,18,52,17,22,53,56
11/1/2020,21,6,23,30,13,27,14,27,35,15,47,15,17,47,50
11/8/2020,25,7,30,34,16,30,16,30,40,17,51,17,19,51,56
11/15/2020,25,7,27,32,16,29,17,28,36,15,50,17,19,52,57
11/22/2020,21,9,26,29,16,26,16,26,33,14,48,16,18,49,58
11/29/2020,24,7,28,33,16,29,15,27,36,15,51,17,19,48,57
12/6/2020,21,8,26,31,18,27,15,29,37,15,53,16,18,50,59
12/13/2020,23,7,27,36,17,28,17,29,39,16,53,17,19,49,64
12/20/2020,24,7,27,37,19,27,16,26,36,15,45,15,17,45,64
12/27/2020,29,7,29,36,19,34,20,33,42,18,53,15,15,47,62
1/3/2021,31,8,29,35,19,34,20,31,37,15,67,19,21,54,59
1/10/2021,25,7,30,32,18,32,17,28,38,15,65,19,20,54,57
1/17/2021,24,8,25,30,17,32,17,28,39,15,62,18,20,55,55
1/24/2021,26,7,28,33,16,31,16,29,38,16,61,19,20,53,52
1/31/2021,26,7,28,34,16,33,16,28,40,17,61,19,20,52,55
2/7/2021,29,6,29,33,16,37,16,32,43,18,59,17,19,53,57
2/14/2021,33,7,31,42,15,39,15,33,46,20,61,17,20,52,58
2/21/2021,34,7,34,52,15,42,16,35,46,20,68,17,20,55,60
2/28/2021,39,7,33,40,14,46,18,34,49,22,68,17,21,54,60
3/7/2021,40,7,36,44,15,48,17,33,52,23,68,17,20,54,62
3/14/2021,39,7,34,42,15,50,17,32,53,26,67,17,20,53,60
3/21/2021,41,6,36,39,16,49,16,34,53,23,65,17,21,53,63
3/28/2021,40,6,39,39,17,48,17,33,55,25,66,15,19,56,66
4/4/2021,39,8,38,42,16,48,15,33,53,25,68,16,20,55,65
4/11/2021,39,8,37,44,13,49,15,33,55,24,68,16,21,54,62
4/18/2021,41,7,37,43,15,52,16,35,55,24,69,17,23,57,60
4/25/2021,40,7,37,44,14,48,16,37,49,23,65,16,21,54,58
5/2/2021,42,7,42,44,14,49,17,42,56,26,71,15,22,58,57
5/9/2021,44,7,43,46,14,53,19,46,58,25,70,15,22,57,59
5/16/2021,46,7,43,46,14,57,22,52,63,27,76,17,26,64,62
5/23/2021,51,8,45,55,14,60,23,61,63,27,78,17,25,64,70
5/30/2021,46,8,46,50,16,60,26,63,66,28,83,16,26,67,73
6/6/2021,51,9,47,50,16,66,28,63,66,30,87,17,26,66,74
6/13/2021,67,8,52,50,16,65,29,66,69,29,87,17,27,69,78
6/20/2021,51,8,53,52,19,65,34,71,70,30,92,17,27,69,83
6/27/2021,52,9,56,57,19,65,37,75,70,32,99,17,27,68,91
7/4/2021,47,10,55,56,19,65,41,77,71,32,94,18,27,70,94
7/11/2021,48,10,54,58,18,69,42,80,78,33,100,18,28,72,96
7/18/2021,46,10,55,57,17,65,43,84,76,33,96,17,25,65,100
7/25/2021,42,9,54,51,18,60,40,83,72,32,93,17,26,69,93
8/1/2021,42,9,56,56,21,54,39,91,69,31,94,18,27,71,97
8/8/2021,41,9,53,57,25,50,38,89,69,30,86,17,25,75,100
8/15/2021,40,8,50,50,22,47,32,90,66,29,85,16,29,74,96
8/22/2021,37,10,50,56,20,49,29,85,65,29,85,17,26,75,95
8/29/2021,36,9,48,53,20,44,24,71,65,29,85,16,25,72,95
9/5/2021,38,9,43,57,22,45,26,71,64,27,88,17,25,71,95
9/12/2021,39,10,43,58,25,46,22,66,64,28,90,16,24,75,97
9/19/2021,38,9,44,56,25,47,22,66,61,29,86,17,23,73,92
9/26/2021,39,11,43,55,26,49,20,60,66,27,84,16,22,78,90
10/3/2021,47,8,44,40,25,39,18,50,51,24,78,14,18,61,80
10/10/2021,100,8,45,41,25,36,17,48,51,22,78,13,17,57,77
10/17/2021,49,7,43,39,25,35,16,49,49,21,83,13,16,57,74
10/24/2021,44,7,43,43,27,32,14,47,47,21,78,14,16,57,74
10/31/2021,45,7,42,42,27,36,15,45,46,23,74,13,15,56,71
11/7/2021,44,8,44,37,27,35,16,44,48,23,79,14,16,65,76
11/14/2021,44,8,44,39,26,35,15,40,48,22,77,13,16,62,74
11/21/2021,39,8,40,38,26,30,13,38,45,19,74,13,14,59,77
11/28/2021,40,8,46,41,25,31,13,34,45,20,75,14,16,54,71
12/5/2021,41,7,46,40,26,31,14,34,45,21,73,13,15,55,73
12/12/2021,41,7,44,41,25,30,12,32,44,19,75,16,15,54,81
12/19/2021,42,7,49,47,25,29,12,30,43,18,73,13,14,51,82
12/26/2021,52,6,62,53,25,35,18,40,50,22,74,11,12,49,80
1/2/2022,57,8,55,50,28,34,16,40,47,19,89,13,15,59,72
1/9/2022,43,8,48,39,28,35,15,38,46,21,87,14,15,63,62
1/16/2022,41,7,43,37,29,34,15,41,44,21,89,13,15,62,58
1/23/2022,43,8,44,36,29,38,16,43,45,20,95,14,17,64,57
