Week,Passport: (Worldwide),Customs: (Worldwide),Embassy: (Worldwide),Travel visa: (Worldwide),Check-in: (Worldwide),Southwest Airlines: (Worldwide),Air France–KLM: (Worldwide),Delta Air Lines: (Worldwide),United Airlines: (Worldwide),Emirates: (Worldwide),Expedia: (Worldwide),trivago: (Worldwide),Tripadvisor: (Worldwide),Hilton: (Worldwide),Marriott: (Worldwide)
4/29/2018,82,14,21,85,40,43,11,34,43,21,54,52,79,43,19
5/6/2018,81,15,22,87,39,37,12,34,41,21,52,49,74,41,19
5/13/2018,81,15,28,90,42,44,10,37,47,20,55,50,75,43,18
5/20/2018,79,16,23,91,40,39,8,37,44,20,55,52,76,43,19
5/27/2018,84,16,22,94,42,43,9,37,42,20,53,54,80,42,19
6/3/2018,84,16,23,89,40,46,9,37,45,20,56,51,79,45,19
6/10/2018,83,15,21,90,43,40,9,35,46,20,57,56,75,45,19
6/17/2018,81,15,22,87,42,39,8,35,47,21,55,55,77,43,19
6/24/2018,81,14,23,92,42,42,9,37,44,22,57,58,80,44,19
7/1/2018,83,15,23,93,43,38,8,32,41,23,55,63,81,43,19
7/8/2018,82,16,23,95,44,46,8,38,46,23,58,68,91,45,22
7/15/2018,80,15,22,100,45,46,9,39,46,22,58,66,95,45,21
7/22/2018,81,16,24,93,45,46,9,40,51,22,62,70,99,49,21
7/29/2018,78,16,21,92,44,43,9,42,49,23,59,69,98,46,20
8/5/2018,75,16,22,89,44,40,8,40,46,24,56,68,100,45,19
8/12/2018,73,16,21,91,45,40,8,38,47,24,53,63,98,45,19
8/19/2018,70,15,19,80,42,38,8,36,45,20,53,55,94,43,19
8/26/2018,70,16,20,83,41,36,8,33,42,21,50,50,85,42,18
9/2/2018,69,15,21,90,43,37,8,33,39,26,49,47,79,41,18
9/9/2018,69,15,21,87,41,39,8,36,43,22,47,41,75,42,17
9/16/2018,69,16,20,84,42,40,8,36,40,21,49,40,73,41,18
9/23/2018,65,15,20,84,41,35,8,33,39,21,47,38,69,38,18
9/30/2018,65,16,20,86,40,43,8,34,41,20,48,37,68,40,18
10/7/2018,68,16,20,85,40,37,8,35,39,20,46,36,66,40,18
10/14/2018,66,15,20,85,39,35,7,33,38,19,45,36,64,40,18
10/21/2018,64,15,19,84,38,35,7,31,38,19,43,34,61,40,16
10/28/2018,63,14,18,82,36,33,7,30,37,20,42,34,62,40,17
11/4/2018,65,15,20,83,37,32,7,33,37,20,45,33,60,40,18
11/11/2018,62,16,19,85,38,38,8,35,42,21,45,32,58,41,17
11/18/2018,64,16,18,79,37,33,8,30,36,20,42,32,55,37,14
11/25/2018,64,16,18,79,37,39,7,35,43,20,43,32,54,38,16
12/2/2018,66,16,18,81,36,34,7,30,37,19,41,32,54,38,17
12/9/2018,65,16,18,80,38,33,7,31,38,20,42,31,52,37,16
12/16/2018,65,15,18,77,40,34,7,34,44,21,41,33,51,37,16
12/23/2018,63,13,15,72,38,36,6,33,41,21,43,44,64,39,17
12/30/2018,76,15,16,79,36,41,7,35,43,23,54,48,73,41,18
1/6/2019,92,17,21,95,36,42,8,38,43,25,58,48,67,44,18
1/13/2019,87,17,20,90,33,41,9,38,42,23,56,44,66,43,19
1/20/2019,81,16,19,85,33,37,8,35,42,23,53,42,64,43,18
1/27/2019,78,15,18,88,31,39,15,39,44,22,52,42,63,41,17
2/3/2019,79,14,18,89,32,39,16,39,41,21,55,42,64,43,18
2/10/2019,80,15,18,93,33,42,16,42,46,24,56,39,68,44,20
2/17/2019,84,15,18,92,34,44,16,41,46,23,57,41,69,46,19
2/24/2019,79,15,18,91,33,41,19,43,46,23,56,40,65,45,20
3/3/2019,82,15,17,93,33,51,16,40,46,21,57,39,67,44,20
3/10/2019,78,15,18,98,35,53,17,45,52,23,56,39,65,45,19
3/17/2019,79,16,18,92,33,38,16,42,44,21,53,40,69,46,19
3/24/2019,76,14,18,92,33,39,16,39,44,20,52,39,66,45,20
3/31/2019,77,17,20,88,35,36,9,36,39,21,50,36,64,45,19
4/7/2019,81,17,21,91,38,35,8,37,44,21,52,39,66,43,19
4/14/2019,74,16,20,82,37,35,7,37,44,21,51,40,71,42,18
4/21/2019,74,15,20,89,37,33,7,34,43,19,51,38,71,41,20
4/28/2019,74,15,20,86,36,36,7,34,41,20,51,36,68,42,20
5/5/2019,77,16,22,94,37,36,8,36,41,19,50,35,65,41,19
5/12/2019,78,16,22,94,38,35,8,35,42,19,51,38,67,44,20
5/19/2019,76,16,22,92,38,38,7,35,47,19,52,40,69,45,19
5/26/2019,77,15,21,90,39,38,7,37,43,20,52,44,73,45,19
6/2/2019,76,14,21,89,40,46,7,37,42,19,55,46,73,45,20
6/9/2019,79,15,21,94,42,39,7,38,43,22,54,45,73,48,21
6/16/2019,79,16,22,97,43,38,8,39,48,22,57,48,77,49,21
6/23/2019,82,15,21,96,41,38,8,38,45,22,55,51,75,46,20
6/30/2019,81,15,22,94,41,32,8,33,43,22,53,56,82,44,20
7/7/2019,82,16,21,98,42,37,8,41,46,23,57,58,83,47,21
7/14/2019,80,16,22,98,41,36,8,40,46,22,57,60,86,49,22
7/21/2019,77,15,21,99,41,35,8,39,44,21,55,63,90,50,22
7/28/2019,76,16,20,97,42,35,8,38,46,22,54,64,88,46,22
8/4/2019,77,15,20,94,43,35,8,39,45,21,54,62,91,48,21
8/11/2019,74,16,18,93,42,36,8,38,43,20,53,60,92,47,21
8/18/2019,78,16,20,94,42,36,8,38,44,21,53,54,90,44,21
8/25/2019,71,16,19,92,41,33,8,37,41,21,49,45,76,45,19
9/1/2019,73,15,20,89,40,33,8,33,39,21,47,40,67,45,19
9/8/2019,70,15,20,94,40,33,8,34,41,20,46,37,67,45,18
9/15/2019,72,16,20,91,40,33,7,36,41,20,45,37,63,47,19
9/22/2019,70,15,19,91,38,32,7,33,39,21,46,36,61,47,19
9/29/2019,72,15,20,98,39,36,7,34,40,20,45,35,60,45,18
10/6/2019,72,16,20,95,38,34,7,34,39,20,44,33,58,45,19
10/13/2019,74,16,20,92,39,33,7,34,38,20,43,35,58,43,18
10/20/2019,68,15,18,87,37,33,7,32,39,19,43,32,57,41,19
10/27/2019,65,15,18,83,34,32,7,31,40,20,42,31,57,39,18
11/3/2019,67,15,19,91,36,32,7,32,37,20,44,32,55,42,20
11/10/2019,67,15,19,90,37,31,6,32,39,20,42,32,53,40,18
11/17/2019,70,15,19,86,36,30,7,31,36,21,42,31,50,41,18
11/24/2019,65,17,17,81,36,30,7,30,39,21,39,30,47,37,15
12/1/2019,67,15,18,82,36,34,8,36,45,20,42,28,47,39,17
12/8/2019,68,16,18,79,34,30,7,32,36,20,39,27,45,40,17
12/15/2019,68,17,17,83,36,30,7,33,40,20,39,28,48,38,17
12/22/2019,67,14,15,73,36,31,6,32,39,20,41,38,54,39,17
12/29/2019,75,13,26,81,34,34,7,35,41,23,50,50,64,44,18
1/5/2020,93,16,27,95,34,35,9,37,42,25,55,48,60,45,19
1/12/2020,91,16,21,95,33,36,8,40,42,24,53,49,60,43,20
1/19/2020,87,16,20,92,32,33,7,34,40,22,52,46,56,42,18
1/26/2020,84,16,22,86,32,29,8,34,39,20,47,41,55,41,18
2/2/2020,79,16,20,86,30,32,7,33,37,21,47,40,54,40,18
2/9/2020,76,15,19,83,33,32,7,34,39,20,48,40,56,43,19
2/16/2020,80,16,20,87,34,32,7,33,38,20,49,38,56,42,20
2/23/2020,74,16,19,79,31,32,7,33,39,19,47,36,49,38,18
3/1/2020,68,15,21,75,29,30,8,36,43,20,43,32,44,37,17
3/8/2020,55,16,25,66,24,43,12,51,57,23,54,24,33,33,14
