Week,Bar: (Worldwide),Music festival: (Worldwide),Ticket: (Worldwide),Amusement park: (Worldwide),Park: (Worldwide),Adventure: (Worldwide),Cycling: (Worldwide),Google Maps: (Worldwide),Airbnb: (Worldwide),Car rental: (Worldwide),Camping: (Worldwide),Lake: (Worldwide),Festival: (Worldwide)
4/29/2018,45,2,89,5,71,5,9,94,24,22,50,59,68
5/6/2018,42,2,81,4,59,5,9,95,24,21,46,59,59
5/13/2018,43,2,78,4,58,5,9,100,24,21,49,60,62
5/20/2018,42,2,78,4,64,5,10,93,24,22,53,69,66
5/27/2018,45,3,84,5,68,5,9,94,25,23,55,78,72
6/3/2018,42,2,86,4,64,5,8,96,26,24,55,69,69
6/10/2018,45,2,89,5,66,5,8,98,26,25,56,70,69
6/17/2018,44,2,87,5,64,5,8,93,25,23,55,79,67
6/24/2018,46,2,86,5,67,5,8,95,26,23,62,81,69
7/1/2018,46,2,93,5,76,5,9,96,28,25,66,93,82
7/8/2018,48,3,94,6,75,5,10,96,29,26,71,91,84
7/15/2018,49,2,90,6,75,5,10,95,29,26,74,94,85
7/22/2018,48,2,91,6,75,5,10,100,31,27,75,98,90
7/29/2018,47,2,89,6,73,5,10,94,29,26,75,96,91
8/5/2018,47,2,91,5,72,5,9,91,29,26,68,88,81
8/12/2018,47,2,93,5,68,5,9,88,27,24,64,83,82
8/19/2018,45,2,87,5,65,5,8,89,26,23,55,75,87
8/26/2018,44,2,87,4,55,5,9,87,24,21,44,67,72
9/2/2018,43,2,85,3,52,5,8,88,23,21,37,61,73
9/9/2018,42,2,83,3,48,5,8,88,23,20,33,53,67
9/16/2018,43,2,81,3,48,5,8,87,22,20,32,53,71
9/23/2018,43,2,82,3,45,5,8,84,21,19,29,48,70
9/30/2018,43,2,84,3,47,5,8,80,21,19,27,45,65
10/7/2018,42,1,86,3,48,4,7,80,20,19,26,45,64
10/14/2018,42,1,86,3,46,5,7,84,20,18,26,47,56
10/21/2018,42,1,91,3,43,5,6,81,20,17,23,42,50
10/28/2018,43,1,86,3,43,5,6,77,19,17,22,39,50
11/4/2018,44,1,89,2,41,5,6,79,19,17,22,38,46
11/11/2018,43,1,83,3,40,5,6,85,19,18,21,37,42
11/18/2018,42,1,81,3,38,5,6,77,18,18,20,35,39
11/25/2018,41,1,81,2,35,5,6,79,18,16,19,35,36
12/2/2018,41,1,85,2,35,5,6,78,18,17,19,35,35
12/9/2018,41,1,82,2,35,5,6,78,18,18,20,34,31
12/16/2018,42,1,89,3,36,5,5,73,18,20,21,35,30
12/23/2018,47,1,93,4,46,5,5,60,21,20,27,43,32
12/30/2018,49,1,100,3,50,6,6,65,25,19,30,46,35
1/6/2019,43,1,86,3,42,5,6,81,27,20,30,45,41
1/13/2019,41,1,83,3,41,5,6,80,25,20,30,43,47
1/20/2019,41,1,82,3,39,5,6,79,24,19,29,43,54
1/27/2019,35,2,75,2,33,5,6,79,24,18,28,40,51
2/3/2019,37,1,79,2,35,5,6,80,25,19,28,37,53
2/10/2019,36,2,77,2,35,4,6,80,24,20,29,40,51
2/17/2019,37,2,79,3,38,4,7,81,25,20,30,41,45
2/24/2019,36,2,80,3,37,4,7,76,25,21,32,40,45
3/3/2019,36,2,78,3,38,4,7,73,24,21,31,40,44
3/10/2019,37,2,83,3,39,4,7,78,24,21,32,41,45
3/17/2019,38,2,83,3,43,4,7,83,25,22,33,44,51
3/24/2019,37,2,85,4,46,4,8,82,25,22,34,44,49
3/31/2019,42,2,90,4,56,4,8,81,25,22,37,48,59
4/7/2019,42,2,91,4,56,5,8,81,25,22,41,50,57
4/14/2019,45,2,91,5,64,5,9,79,25,23,47,56,58
4/21/2019,43,2,93,4,64,5,9,81,25,23,47,58,60
4/28/2019,45,2,93,5,66,5,8,80,25,22,47,58,69
5/5/2019,43,2,86,4,58,5,8,84,25,23,45,56,58
5/12/2019,42,2,87,4,57,5,9,87,25,23,45,58,64
5/19/2019,43,2,87,4,63,5,8,87,27,23,49,65,68
5/26/2019,45,2,91,5,69,5,9,82,27,23,57,72,70
6/2/2019,46,2,97,5,66,5,9,86,28,25,58,75,78
6/9/2019,46,2,96,5,66,5,9,88,27,25,59,73,73
6/16/2019,46,2,95,5,70,5,9,89,29,25,61,81,73
6/23/2019,46,3,95,5,73,5,8,86,30,26,64,88,77
6/30/2019,45,2,99,5,79,5,9,90,30,26,69,99,89
7/7/2019,46,3,99,6,74,5,10,91,31,27,70,89,91
7/14/2019,47,3,97,6,75,5,10,93,30,27,74,89,88
7/21/2019,50,2,97,6,78,5,11,91,32,27,74,98,98
7/28/2019,47,2,96,6,75,5,10,88,31,27,73,92,100
8/4/2019,48,2,98,6,75,5,10,87,30,26,70,88,90
8/11/2019,48,2,96,6,75,5,9,88,29,26,64,89,86
8/18/2019,46,2,94,5,65,5,9,89,29,24,56,81,86
8/25/2019,45,2,90,5,63,5,9,87,26,23,48,74,77
9/1/2019,44,2,89,4,53,5,9,85,25,23,39,62,75
9/8/2019,45,1,84,4,52,5,9,83,24,23,37,56,79
9/15/2019,45,2,88,4,51,5,8,86,24,23,34,53,69
9/22/2019,44,2,83,3,49,5,8,84,24,22,32,48,68
9/29/2019,45,1,94,3,48,5,8,82,24,23,32,47,67
10/6/2019,44,1,94,3,49,5,7,83,24,22,28,44,67
10/13/2019,45,1,86,3,48,5,6,82,23,21,26,44,62
10/20/2019,43,1,88,4,47,4,6,80,22,21,24,42,51
10/27/2019,45,1,88,3,45,5,6,76,23,20,25,39,53
11/3/2019,44,1,86,3,45,5,6,79,24,20,23,37,47
11/10/2019,43,1,83,3,40,5,6,78,22,20,22,38,43
11/17/2019,44,1,84,3,40,4,6,78,22,22,22,37,41
11/24/2019,42,1,85,3,39,5,6,73,20,22,21,36,36
12/1/2019,42,1,84,3,39,5,6,75,21,21,21,35,37
12/8/2019,42,1,82,3,36,5,5,76,20,22,21,35,33
12/15/2019,43,1,84,3,36,5,5,71,20,23,21,34,33
12/22/2019,47,1,95,4,47,5,5,58,23,27,26,42,34
12/29/2019,50,1,98,4,52,6,6,62,28,24,31,46,37
1/5/2020,44,1,88,3,45,5,6,77,29,25,32,42,41
1/12/2020,43,1,87,3,42,5,6,77,29,25,32,46,45
1/19/2020,43,1,84,3,43,5,6,76,27,24,31,45,44
1/26/2020,42,1,79,3,42,5,6,78,26,23,31,44,45
2/2/2020,41,1,80,3,41,5,6,75,25,23,31,42,64
2/9/2020,45,1,81,3,43,5,6,80,26,24,32,45,53
2/16/2020,47,1,83,3,46,5,7,79,27,24,34,46,46
2/23/2020,45,1,79,3,44,5,7,75,24,22,30,43,45
3/1/2020,41,2,72,3,43,5,6,75,23,21,30,42,45
3/8/2020,37,1,70,3,41,4,6,64,22,18,28,36,39
